"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"T32016","Bridge Street Neck","Year Round","Salem",11,NA,2722.3688481703,2.7223688481703,"Salem State University",15215.9684078188,15.2159684078188,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.88971138, 42.52810052)
"T32018","Derby Street","Year Round","Salem",11,NA,1833.74127944199,1.83374127944199,"Salem State University",14401.5504153131,14.4015504153131,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89139044, 42.52009618)
"S32001","Somerville City Hall","Year Round","Somerville",19,77,1373.5495550686,1.3735495550686,"Lincoln Technical Institute",181.600150910275,0.181600150910275,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09812, 42.386844)
"S32002","Union Square - Somerville","Year Round","Somerville",19,78,1581.16606430439,1.58116606430439,"Harvard University",244.244254654294,0.244244254654294,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09540476, 42.3796479)
"S32003","Beacon St at Washington / Kirkland","Year Round","Somerville",19,79,651.124660743153,0.651124660743153,"Harvard University",995.741753679337,0.995741753679337,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10707223, 42.37875351)
"S32004","Conway Park - Somerville Avenue","Year Round","Somerville",23,71,810.073899045785,0.810073899045785,"Lesley University",1012.76624658902,1.01276624658902,"Porter","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10853672, 42.38363895)
"S32005","Wilson Square","Year Round","Somerville",15,99,653.114162835515,0.653114162835515,"Lesley University",504.610315686313,0.504610315686313,"Porter","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.11412136, 42.38567579)
"S32006","Davis Square","Year Round","Somerville",25,100,1340.3573098198,1.3403573098198,"Tufts University",69.2184567587499,0.0692184567587499,"Davis","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.123024, 42.396969)
"S32007","Ball Sq","Year Round","Somerville",19,101,1177.86323220413,1.17786323220413,"Tufts University",41.5921116585451,0.0415921116585451,"Ball Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.11111522, 42.39936816)
"S32008","Powder House Circle - Nathan Tufts Park","Year Round","Somerville",15,102,859.326100403389,0.859326100403389,"Tufts University",524.765381625139,0.524765381625139,"Ball Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.116772, 42.400877)
"S32009","Packard Ave at Powderhouse Blvd","Year Round","Somerville",15,111,611.298828899968,0.611298828899968,"Tufts University",673.822651099899,0.673822651099899,"Medford/Tufts","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.123413, 42.40449)
"S32010","Clarendon Hill at Broadway","Year Round","Somerville",15,112,1075.84928054102,1.07584928054102,"Elizabeth Grady School of Esthetics and Massage Therapy",1243.18897339052,1.24318897339052,"Medford/Tufts","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.132446, 42.406302)
"S32011","Teele Square","Year Round","Somerville",15,114,1052.08962484319,1.05208962484319,"Tufts University",549.242930971131,0.549242930971131,"Davis","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.12590793, 42.4008795)
"S32013","Magoun Square at Trum Field","Year Round","Somerville",19,137,1569.08374113217,1.56908374113217,"Tufts University",432.336904338078,0.432336904338078,"Ball Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10594004, 42.3977834)
"S32014","Broadway St at Mt Pleasant St","Year Round","Somerville",19,194,644.06652604699,0.64406652604699,"Lincoln Technical Institute",233.095219343775,0.233095219343775,"Sullivan Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.0782814, 42.38614141)
"S32015","Foss Park","Year Round","Somerville",15,188,656.20527842906,0.65620527842906,"Lincoln Technical Institute",609.227168651039,0.609227168651039,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09039426, 42.39108438)
"S32016","Broadway at Central St","Year Round","Somerville",19,234,1398.80796294697,1.39880796294697,"Lincoln Technical Institute",667.606812402916,0.667606812402916,"Magoun Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09850592, 42.3951715)
"S32017","East Somerville Library (Broadway and Illinois)","Year Round","Somerville",15,235,387.954018092371,0.387954018092371,"Lincoln Technical Institute",633.3492935508,0.6333492935508,"Sullivan Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.08318716, 42.38762811)
"S32018","Assembly Square T","Year Round","Somerville",15,236,425.674051906907,0.425674051906907,"Lincoln Technical Institute",29.2554081962173,0.0292554081962173,"Assembly","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.07746601, 42.39223284)
"S32019","Grove St at Community Path","Year Round","Somerville",15,328,1356.64311041785,1.35664311041785,"Tufts University",178.834602864637,0.178834602864637,"Davis","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.12011306, 42.39638681)
"S32052","Somerville Hospital","Year Round","Somerville",15,156,1334.31428286473,1.33431428286473,"Lesley University",420.653959657356,0.420653959657356,"Magoun Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.108571, 42.390413)
"S32021","Washington St at Myrtle St","Year Round","Somerville",15,329,1161.8379305664,1.1618379305664,"Cambridge College",182.537195812446,0.182537195812446,"East Somerville","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.08709779, 42.38103732)
"S32022","Community Path at Cedar Street","Year Round","Somerville",15,239,1608.70526696584,1.60870526696584,"Lesley University",403.14410890964,0.40314410890964,"Magoun Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.11133695, 42.39407224)
"S32023","30 Dane St","Year Round","Somerville",15,330,996.786431717151,0.996786431717151,"Harvard University",833.660754451464,0.833660754451464,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10402523, 42.38100143)
"S32034","Perry Park","Year Round","Somerville",19,377,945.487268565162,0.945487268565162,"Harvard University",714.189655025146,0.714189655025146,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10341903, 42.37927325)
"S32035","191 Beacon St","Year Round","Somerville",19,378,654.161218533653,0.654161218533653,"Harvard University",1086.66786775424,1.08666786775424,"Harvard","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.10878613, 42.38032335)
"S32036","Somerville City Hall Annex","Year Round","Somerville",19,406,1239.38714285515,1.23938714285515,"Lincoln Technical Institute",471.390163809261,0.471390163809261,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09745376, 42.39189812)
"S32037","Craigie at Summer St","Year Round","Somerville",19,407,1044.70785426437,1.04470785426437,"Lesley University",692.480372923508,0.692480372923508,"Porter","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.11068249, 42.38831608)
"S32038","Edgerly Education Center","Year Round","Somerville",15,408,582.26793722946,0.58226793722946,"Lincoln Technical Institute",752.96553295636,0.75296553295636,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.08714389, 42.38717463)
"S32039","Elm St at White St","Year Round","Somerville",19,409,1027.16660078449,1.02716660078449,"Lesley University",223.077220310244,0.223077220310244,"Porter","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.1169414, 42.38952436)
"S32040","Community Path at Lowell St","Year Round","Somerville",19,487,1665.9797507334,1.6659797507334,"Lesley University",163.231153159722,0.163231153159722,"Magoun Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.105587, 42.392525)
"S32041","Union Square East","Year Round","Somerville",19,495,1375.83005066553,1.37583005066553,"Lincoln Technical Institute",300.297337977627,0.300297337977627,"East Somerville","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.090098, 42.380078)
"S32046","Gilman Square T at Medford St","Year Round","Somerville",19,514,1114.78720096703,1.11478720096703,"Lincoln Technical Institute",175.247232612848,0.175247232612848,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.0946444, 42.3867355)
"S32047","Foley St at Grand Union Blvd","Year Round","Somerville",19,530,257.279457155018,0.257279457155018,"Lincoln Technical Institute",310.143806477832,0.310143806477832,"Assembly","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.08071685, 42.3930184)
"S32048","Somerville High School & Central Library","Year Round","Somerville",17,550,1232.13936671846,1.23213936671846,"Lincoln Technical Institute",151.571290536234,0.151571290536234,"Gilman Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.09601, 42.3864)
"S32050","Boynton Yards at 101 South Street","Year Round","Somerville",19,NA,1668.26423686054,1.66826423686054,"Massachusetts Institute of Technology",439.700474896678,0.439700474896678,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.091236, 42.37471)
"S32053","Chestnut St at Poplar St","Year Round","Somerville",19,NA,1146.63266360928,1.14663266360928,"Cambridge College",207.18068398598,0.20718068398598,"East Somerville","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.085954, 42.377636)
"S32054","Union Square Station","Year Round","Somerville",19,NA,1612.11305720036,1.61211305720036,"Harvard University",55.9851274629051,0.0559851274629051,"Union Square","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.094428, 42.377309)
"W32001","Coolidge Sq.","Year Round","Watertown",12,455,2591.48714511036,2.59148714511036,"Harvard-Smithsonian",2935.47260728529,2.93547260728529,"Alewife","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.15683131, 42.37207611)
"W32002","Watertown Sq","Year Round","Watertown",15,458,2692.52115779974,2.69252115779974,"Boston College",3186.86637973504,3.18686637973504,"Boston College","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.18573324, 42.36526032)
"W32004","Arsenal Yards","Year Round","Watertown",15,475,2090.78993904371,2.09078993904371,"Saint John's Seminary",2126.46550609361,2.12646550609361,"Warren Street","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.15764854, 42.36277389)
"W32005","Watertown Town Hall","Year Round","Watertown",11,494,2914.23947459302,2.91423947459302,"Boston College",3484.6721941611,3.4846721941611,"Boston College","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.18751436, 42.36759308)
"W32006","160 Arsenal","Year Round","Watertown",11,502,2500.22611629935,2.50022611629935,"Saint John's Seminary",2816.8019093415,2.8168019093415,"Boston College","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.17569387, 42.36466403)
"W32007","Nichols Ave. at Watertown Greenway","Year Round","Watertown",12,509,2636.72205209321,2.63672205209321,"Saint John's Seminary",2502.31265444521,2.50231265444521,"Warren Street","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.15656637, 42.36762049)
"F32009","Hickey Park","Year Round","Medford",19,NA,1004.76850298238,1.00476850298238,"Lawrence Memorial Hospital/Regis College School of Nursing",2031.68761952879,2.03168761952879,"Malden Center","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.098973, 42.424981)
"M32092","Elevate at One Leighton","Year Round","Cambridge",17,NA,232.455844154691,0.232455844154691,"Hult International Business School",308.90741953929,0.30890741953929,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.073526, 42.369931)
"A32062","Western Ave at Everett St","Year Round","Boston",17,NA,1044.76658348762,1.04476658348762,"Harvard University",1450.84874349936,1.45084874349936,"Harvard Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.134719, 42.363168)
"B32065","Massachusetts Ave at Boylston St","Year Round","Boston",16,NA,153.933160111244,0.153933160111244,"Berklee College of Music",76.9904776004741,0.0769904776004741,"Hynes Convention Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.088012, 42.34752)
"B32038","Chestnut Hill Ave at Ledgemere Rd","Year Round","Boston",19,NA,767.94347214419,0.76794347214419,"Boston College",392.182725650866,0.392182725650866,"Chiswick Road","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.153257, 42.343706)
"A32059","High St at Federal St","Year Round","Boston",20,NA,547.133833744265,0.547133833744264,"Empire Beauty School",127.720539782988,0.127720539782988,"South Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.056222, 42.353528)
"D32030","Washington St at Temple Pl","Year Round","Boston",19,NA,148.556938368043,0.148556938368043,"Empire Beauty School",23.4366666542964,0.0234366666542964,"Temple Pl @ Washington St","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.060977, 42.354968)
"D32062","Stuart St at Church St","Year Round","Boston",20,NA,157.55261093175,0.15755261093175,"New England Law Boston",252.254075143242,0.252254075143242,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.068306, 42.350667)
"D32025","Charles St S at Stuart St","Year Round","Boston",16,NA,24.8694717418386,0.0248694717418386,"New England Law Boston",250.992907435467,0.250992907435467,"Tufts Medical Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.066694, 42.350778)
"C32109","Centre St at Allandale St","Year Round","Boston",23,NA,1811.4289312358,1.8114289312358,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1089.27112897652,1.08927112897652,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.127436, 42.300806)
"A32061","Commercial St at Charter St","Year Round","Boston",19,NA,621.200235006551,0.621200235006551,"North Bennet Street School",423.805131839551,0.423805131839551,"North Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.056847, 42.36817)
"C32068","Melnea Cass Blvd at Hampden St","Year Round","Boston",19,NA,645.206537721665,0.645206537721665,"Boston University Chobanian & Avedisian School of Medicine",493.792741198285,0.493792741198285,"Melnea Cass Blvd","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.075526, 42.330982)
"C32069","Damrell St at Old Colony Ave","Year Round","Boston",19,NA,1556.87084063896,1.55687084063896,"Boston University Chobanian & Avedisian School of Medicine",346.381871179193,0.346381871179193,"Andrew","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.054241, 42.332482)
"M32093","101 Smith Place","Year Round","Cambridge",23,NA,2234.77163310826,2.23477163310826,"Harvard-Smithsonian",815.233603437244,0.815233603437244,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.150761, 42.392568)
"M32094","40 Thorndike St","Year Round","Cambridge",19,NA,771.325020234423,0.771325020234423,"Hult International Business School",404.057666221843,0.404057666221843,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.079999, 42.369061)
"M32095","Lechmere Canal Park","Year Round","Cambridge",27,NA,442.4283439571,0.4424283439571,"Hult International Business School",201.266757026548,0.201266757026548,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.076079, 42.36984)
"C32026","Au Bon Pain Way at Fid Kennedy Ave","Year Round","Boston",18,NA,2763.22880065911,2.76322880065911,"Tufts University",179.005133236189,0.179005133236189,"27 Dry Dock Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0292, 42.346101)
"C32054","Shawmut Ave at Herald St","Year Round","Boston",20,NA,343.010096680621,0.343010096680621,"Benjamin Franklin Cummings Institute of Technology",112.341169541038,0.112341169541038,"Herald Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.066049, 42.346647)
"S32055","Grand Union Blvd at Revolution Dr","Year Round","Somerville",19,NA,180.875967884164,0.180875967884164,"Lincoln Technical Institute",270.625670442763,0.270625670442763,"Assembly","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.080351, 42.391658)
"W32009","Arsenal on the Charles","Year Round","Watertown",19,NA,2133.99368340403,2.13399368340403,"Saint John's Seminary",2572.44324286707,2.57244324286707,"Warren Street","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.164217, 42.363499)
"F32011","Carr Park","Year Round","Medford",11,NA,1617.71233847256,1.61771233847256,"Lawrence Memorial Hospital/Regis College School of Nursing",1887.68052886358,1.88768052886358,"Malden Center","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.094755, 42.434365)
"F32012","Steve Miller Dr at Winthrop St (Medford High)","Year Round","Medford",11,NA,1269.62926176369,1.26962926176369,"Lawrence Memorial Hospital/Regis College School of Nursing",2255.04138902261,2.25504138902261,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.12636, 42.428086)
"F32013","Governors Ave at Lawrence Rd","Year Round","Medford",11,NA,130.787182628371,0.130787182628371,"Lawrence Memorial Hospital/Regis College School of Nursing",1913.32175478941,1.91332175478941,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.110386, 42.425178)
"V32017","Northern Strand - West St & Wellington Ave","Year Round","Everett",11,NA,806.857561165612,0.806857561165612,"Flavia Leal Beauty School",1152.03314928205,1.15203314928205,"Wellington","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.063278, 42.403444)
"W32010","Watertown St at 5th Ave","Year Round","Watertown",19,NA,2353.19729661184,2.35319729661184,"Boston College",3218.71755737108,3.21871755737108,"Boston College","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.19127, 42.36289)
"R32009","Revere Beach - Markey Footbridge","Year Round","Revere",11,NA,4767.20074952543,4.76720074952543,"East Boston Beauty Academy",162.356107859407,0.162356107859407,"Wonderland","SUFFOLK",57954,"30-39 year olds",0.17,c(-70.989609, 42.414019)
"R32008","Eliot Circle Revere Beach","Year Round","Revere",11,NA,3847.18903042636,3.84718903042636,"East Boston Beauty Academy",588.706762657234,0.588706762657234,"Revere Beach","SUFFOLK",57954,"30-39 year olds",0.17,c(-70.989972, 42.402889)
"L32007","Swan Place at Minuteman Bikeway","Year Round","Arlington",11,NA,2151.1013214389,2.1511013214389,"Elizabeth Grady School of Esthetics and Massage Therapy",2232.78859706126,2.23278859706126,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.152377, 42.414705)
"F32014","Winthrop Circle","Year Round","Medford",11,NA,757.821463035203,0.757821463035203,"Lawrence Memorial Hospital/Regis College School of Nursing",1392.30762026458,1.39230762026458,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.117556, 42.421361)
"L32009","Mill St. at Minuteman Bikeway","Year Round","Arlington",11,NA,2609.0647220856,2.6090647220856,"Elizabeth Grady School of Esthetics and Massage Therapy",2803.62363737462,2.80362363737462,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.157536, 42.418603)
"L32008","Lake St. at Minuteman Bikeway","Year Round","Arlington",11,NA,2071.94226680784,2.07194226680784,"Elizabeth Grady School of Esthetics and Massage Therapy",978.833249103868,0.978833249103868,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.146904, 42.40417)
"L32010","Medford St at Warren St","Year Round","Arlington",11,NA,1812.54101283782,1.81254101283782,"Elizabeth Grady School of Esthetics and Massage Therapy",2318.98666010389,2.31898666010389,"Alewife","MIDDLESEX",46111,"30-39 year olds",0.16,c(-71.148134, 42.416491)
"W32011","99 Coolidge Ave","Year Round","Watertown",11,NA,2328.55121217856,2.32855121217856,"Saint John's Seminary",1923.82287874943,1.92382287874943,"Warren Street","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.151786, 42.363675)
"S32057","Innerbelt at East Somerville Station","Year Round","Somerville",19,NA,1124.6399670805,1.1246399670805,"Cambridge College",18.3991534199519,0.0183991534199519,"East Somerville","MIDDLESEX",80407,"20-29 year olds",0.33,c(-71.086431, 42.379591)
"C32114","780 Morrissey Blvd","Year Round","Boston",15,NA,1446.70933535069,1.44670933535069,"Jupiter Beauty Academy",1319.8570800743,1.3198570800743,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.047186, 42.295305)
"C23015","Pope John Paul II Park - Neponset Trail at Hallet St","Year Round","Boston",19,NA,558.647070260485,0.558647070260485,"Millennium Training Institute",1171.18545520556,1.17118545520556,"Cedar Grove","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.046085, 42.279774)
"A32024","Staniford St at Merrimac St","Year Round","Boston",24,NA,683.260826397993,0.683260826397993,"Suffolk University",310.362429382904,0.310362429382904,"Bowdoin","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.063721, 42.36358)
"A32063","Herter Park","Year Round","Boston",19,NA,1039.18032001385,1.03918032001385,"Harvard University",1639.31289500736,1.63931289500736,"Harvard","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.135393, 42.365724)
"D32063","Commonwealth Ave at Fidelis Way","Year Round","Boston",12,NA,1037.12043066562,1.03712043066562,"Boston Graduate School of Psychoanalysis Inc",200.83334880681,0.20083334880681,"Washington Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.141902, 42.345865)
"A32064","Western Ave at Leo Birmingham Pkwy","Year Round","Boston",16,NA,1908.16080941394,1.90816080941394,"Harvard University",1491.87340887879,1.49187340887879,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14506, 42.361559)
"D32027","Boston Public Market - Surface Rd at Sudbury St","Year Round","Boston",32,NA,243.643803691853,0.243643803691853,"North Bennet Street School",31.378792498554,0.031378792498554,"Haymarket","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.057489, 42.362561)
"D32044","Pearl St at Milk St","Year Round","Boston",20,NA,451.851136549944,0.451851136549944,"Suffolk University",294.942744293615,0.294942744293615,"State","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.055498, 42.356776)
"A32065","Ashley St at Boardman","Year Round","Boston",20,NA,1580.05836921249,1.58005836921249,"East Boston Beauty Academy",527.8708401532,0.5278708401532,"Orient Heights","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.010409, 42.389155)
"A32066","Bennington St at Marion St","Year Round","Boston",20,NA,993.542552374482,0.993542552374482,"East Boston Beauty Academy",503.466726192784,0.503466726192784,"Airport","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.035985, 42.375909)
"C32011","Harbor St at Channel St","Year Round","Boston",16,NA,2201.93103945326,2.20193103945326,"Tufts University",164.075796296685,0.164075796296685,"Design Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.036453, 42.345144)
"C32071","Northern Ave at Haul Rd","Year Round","Boston",20,NA,2209.00965310678,2.20900965310678,"Tufts University",65.4174740794719,0.0654174740794719,"Northern Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.035796, 42.347181)
"C32070","300 Summer St","Year Round","Boston",15,NA,1104.99439669226,1.10499439669226,"Tufts University",334.547868515796,0.334547868515796,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.048935, 42.349784)
"R32003","Beachmont Square at Suffolk Downs","Year Round","Revere",11,NA,3282.73839513668,3.28273839513668,"East Boston Beauty Academy",59.4522403837218,0.0594522403837218,"Beachmont","SUFFOLK",57954,"30-39 year olds",0.17,c(-70.993072, 42.397608)
"W32012","Galen St at Watertown St","Year Round","Watertown",11,NA,2587.21608828706,2.58721608828706,"Boston College",3091.70253562697,3.09170253562697,"Boston College","MIDDLESEX",35256,"30-39 year olds",0.22,c(-71.18573, 42.36428)
